cq,dimension,question,rows,status
CQ1,Structural,Which architectural structures were built during a time period using an architectural style?,1,PASS
CQ2,Structural,Which architectural elements are components of structures used in a given ritual?,1,PASS
CQ3,Structural,"Which iconographic objects depict a deity, and where are they currently located?",1,PASS
CQ4,Structural,"Which heritage structures are associated with historical events, and over what time-spans?",1,PASS
CQ5,Structural,Which architectural structures within a geographical area belong to a particular typology?,2,PASS
CQ6,Structural,Which heritage shares a common architectural style?,1,PASS
CQ7,Ritual/Festival,Which sacred structures in a place are associated with which deities?,1,PASS
CQ8,Ritual/Festival,"Among temples that conduct daily Nitya Puja, which are assessed as damaged/endangered?",1,PASS
CQ9,Ritual/Festival,Which caste groups have hereditary roles in rituals critical for a festival?,1,PASS
CQ10,Ritual/Festival,"Which ritual objects are associated with rituals, and who is responsible for their use?",1,PASS
CQ11,Ritual/Festival,"Which rituals are associated with which sites, invoke which deities, with what recurrence?",1,PASS
CQ12,Ritual/Festival,"What is the sequence of ritual events, and which actors are responsible for each step?",2,PASS
CQ13,Ritual/Festival,"Which rituals move sacred presences between sites, and what routes are traversed?",1,PASS
CQ14,Ritual/Festival,How do crises trigger extraordinary rituals outside the normal calendar?,1,PASS
CQ15,Ritual/Festival,What materials and techniques are used in key ritual events?,1,PASS
CQ16,Ritual/Festival,"How do ritual obligations differ for participant groups, and how are roles recorded?",5,PASS
CQ17,Ritual/Festival,"Which rituals have documented transformations, and which sources attest them?",1,PASS
CQ18,Ritual/Festival,How do changes in structures reflect broader transitions (via provenance assertions)?,2,PASS
CQ19,Institutional/Syncretic,"Which organisations manage which heritage, perform which rituals, and hold custody?",1,PASS
CQ20,Institutional/Syncretic,Which structures were commissioned by a specific patron?,1,PASS
CQ21,Institutional/Syncretic,"Which institutions provide economic and ritual support for sites, rituals, or sacred figures?",1,PASS
CQ22,Institutional/Syncretic,Which festivals bring together multiple groups around a shared syncretic deity?,1,PASS
CQ23,Institutional/Syncretic,Which places or structures function as shared or contested sites for multiple traditions?,1,PASS
CQ24,Institutional/Syncretic,Which rituals at Hindu temples and Buddhist monuments invoke the same syncretic deity?,1,PASS
CQ25,Institutional/Syncretic,"How do syncretic deities link traditions, and what evidence supports these links?",2,PASS
CQ26,Living Goddess,"Which person served as Kumari, for which period, at which residence?",1,PASS
CQ27,Living Goddess,"For a given Kumari, which deity is believed present, in which religious traditions?",2,PASS
CQ28,Living Goddess,How does the Kumari institution embody Hindu-Buddhist syncretism in a place and period?,1,PASS
CQ29,Living Goddess,"What daily rituals does a Kumari perform at her residence, with what temporal pattern?",1,PASS
CQ30,Living Goddess,"In which processions does a given Kumari participate, and in what sequence?",1,PASS
CQ31,Living Goddess,Which institution bears responsibility for a given Kumari during her tenure?,1,PASS
CQ32,Living Goddess,"When and why did an individual stop being Kumari, and what event terminated the status?",1,PASS
