cq,title,status,rows,datagap_reason,sample_bindings
CQ01,Architectural structures with a known style and a documented date,ANSWERED,3,,label=Boudhanath; style=StupaStyle; date=1979 || label=Swayambhunath; style=StupaStyle; date=1979 || label=Shanti Stupa; style=StupaStyle; date=1999-01-01T00:00:00Z
CQ02,Architectural elements that are components of structures used in a ritual,DATA-GAP,0,No ArchitecturalElement instances / is_component_of links in the current open sources.,
CQ03,"Iconographic objects that depict a deity, and where they are located",DATA-GAP,0,depicts_deity is not exposed by any current source (the DANAM search API omits it).,
CQ04,"Heritage structures associated with historical events (earthquake, restoration, ...)",DATA-GAP,0,HistoricalEvent instances are not yet modelled (earthquake mentions exist only as free-text notes).,
CQ05,Heritage typologies within the Kathmandu Valley (geographic bounding box),ANSWERED,7,,type=ArchitecturalStructure; n=1593 || type=BuddhistMonument; n=487 || type=Chaitya; n=172
CQ06,Heritage sharing a common architectural style,ANSWERED,2,,"style=ChaityaStyle; n=186; example=temple || style=StupaStyle; n=22; example=World Peace Pagoda, Lumbini"
CQ07,Places/structures associated with deities (through the rituals performed there),ANSWERED,10,,placeLabel=Bhaktapur Durbar Square; deityLabel=Navadurga || placeLabel=Bhaktapur Durbar Square; deityLabel=Bhairava || placeLabel=Patan Durbar Square; deityLabel=Avalokiteshvara (Karunamaya)
CQ08,Active temples with daily Nitya Puja assessed as Poor/Endangered,DATA-GAP,0,No ConditionAssessment / ConditionState data in the current open sources.,
CQ09,Caste/social groups with hereditary roles in rituals critical for a festival,ANSWERED,5,,festivalLabel=Lakhe dance (Majipa Lakhe); group=Manandhar (Saymi); role=Newar oil-presser caste with ritual roles in festival lamp lighting. || festivalLabel=Navadurga masked dance (Bhaktapur); group=Gathu (Banmala); role=Newar gardener caste of Bhaktapur; hereditary performers of the Navadurga masked dance. || festivalLabel=Rato Machhindranath Jatra (Bunga Dyah Jatra); group=Jyapu (Maharjan); role=Newar farming caste; hereditary chariot-pullers and ritual performers in jatras such as Rato Machhindranath.
CQ10,"Ritual objects (icons, chariots) tied to rituals and the groups responsible",DATA-GAP,0,Ritual-object (chariot) instances and used_by links are not modelled in the current sources.,
CQ11,"Rituals/festivals, the deities they invoke, and their recurrence patterns",ANSWERED,12,,"festival=Navadurga masked dance (Bhaktapur); deityLabel=Navadurga; recurrence=annual (Ashwin-Bhadra cycle) || festival=Bisket Jatra (Biska Jatra); deityLabel=Bhairava; recurrence=annual (Baisakh, Nepali New Year) || festival=Rato Machhindranath Jatra (Bunga Dyah Jatra); deityLabel=Avalokiteshvara (Karunamaya); recurrence=annual (Baisakh-Jestha); every 12 years from Bungamati"
CQ12,Canonical ordered sequence of ritual events within a festival cycle,DATA-GAP,0,occurs_before / occurs_after ordering is not asserted yet (only P9_consists_of part-hood).,
CQ13,"Rituals that move sacred icons between sites, and the routes traversed",ANSWERED,6,,festival=Bisket Jatra (Biska Jatra); routeLabel=Bhaktapur Durbar Square || festival=Rato Machhindranath Jatra (Bunga Dyah Jatra); routeLabel=Bungamati || festival=Rato Machhindranath Jatra (Bunga Dyah Jatra); routeLabel=Patan Durbar Square
CQ14,Crises that trigger extraordinary/temporary rituals,DATA-GAP,0,HistoricalEvent -> includes_ritual_event is not modelled in the current sources.,
CQ15,"Materials, techniques and sensory elements used in key ritual events",DATA-GAP,0,used_materials / used_technique are not populated by the current sources.,
CQ16,How ritual obligations differ across participant groups (roles recorded),ANSWERED,4,,"group=Vajracharya (Gubhaju); role=Newar Vajrayana Buddhist priests; perform tantric ritual and temple priesthood, including consecration (pratistha) rites.; festivals=2 || group=Manandhar (Saymi); role=Newar oil-presser caste with ritual roles in festival lamp lighting.; festivals=1 || group=Gathu (Banmala); role=Newar gardener caste of Bhaktapur; hereditary performers of the Navadurga masked dance.; festivals=1"
CQ17,Rituals/festivals with documented transformations and their drivers,DATA-GAP,0,"Transformation/change events are not modelled (provenance records the source, not change history).",
CQ18,Changes in object location / ritual practice reflecting historical transitions,DATA-GAP,0,Object-location and practice-change events are not modelled in the current sources.,
CQ19,Organisations (Guthi) that manage heritage and perform rituals,ANSWERED,5,,guthiLabel=Bunga Dyah (Rato Machhindranath) Jatra Guthi; managedLabel=Rato Machhindranath Jatra (Bunga Dyah Jatra) || guthiLabel=Guthi Sansthan; managedLabel=Daily puja of the Royal Kumari || guthiLabel=Guthi Sansthan; managedLabel=Nitya Puja at Pashupatinath
CQ20,Structures/objects commissioned by a specific patron or ruler,DATA-GAP,0,Production / commissioned_by is not modelled in the current open sources.,
CQ21,"Institutions/endowments supporting sites, rituals or living sacred figures",ANSWERED,1,,supportedLabel=Royal Kumari tenure (office); institutionLabel=Guthi Sansthan
CQ22,Syncretic deities shared by multiple traditions (festival context),ANSWERED,2,,syncretic=Avalokiteshvara identified with Matsyendranath (Karunamaya); deityLabel=Avalokiteshvara (Karunamaya) || syncretic=Hindu goddess Taleju embodied in a Buddhist Shakya Kumari; deityLabel=Taleju Bhawani
CQ23,Deities venerated across more than one religious tradition (shared/contested),ANSWERED,3,,deityLabel=Matsyendranath (Bungadyo); traditions=2 || deityLabel=Avalokiteshvara (Karunamaya); traditions=2 || deityLabel=Taleju Bhawani; traditions=2
CQ24,Festivals invoking a deity recognised by two or more traditions,ANSWERED,9,,festival=Rato Machhindranath Jatra (Bunga Dyah Jatra); deityLabel=Avalokiteshvara (Karunamaya) || festival=Ritual bathing of Bungadyo; deityLabel=Avalokiteshvara (Karunamaya) || festival=Rato Machhindranath Jatra (Bunga Dyah Jatra); deityLabel=Matsyendranath (Bungadyo)
